data_type,id,title,subtitle,storyImage,storyDesc,boardImage,boardbgm,team,type,moveType,imgUrl,hit,dodge,bgmtype,weapon_colour,crosshairType,position_row,position_col,condition_type,description,event_type,condition_turn,condition_team,condition_pieceId,condition_row,condition_col,action_type,action_pieceId,aim_row,aim_col,action_targetPieceId,action_findBestPosition,action_special,action_title,action_description,action_buttonText,action_character,action_text,action_from_row,action_from_col,action_to_row,action_to_col,action_position_row,action_position_col,once
level_info,6,第六話,驚異的魔鬼高達,./images/cover/cover06.png,英雄們擊退魔鬼高達與盟主高達後，暗中追蹤敵人撤退路徑，發現一座位於深山內的神秘基地。進入基地後，他們震驚地發現原本應該已死的皮克多倫參謀竟然復活了！眾人更親眼目睹皮克多倫利用神秘怪電波，將俘虜變成傀儡，並促使魔鬼高達進一步進化。正當英雄們試圖阻止時，基地警報突然響起，大批敵人迅速將他們團團包圍……,./images/map/map06.png,./audio/SRWCBGM_Map02.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,gp03_gundam,,,,,,,blue,高達GP03,rook,./images/unit/gp03_gundam.png,4,3,Gundam,#FF1493,Beam_Rifie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,master_gundam2,,,,,,,red,盟主高達 風雲再起,queen,./images/unit/master_gundam2.png,4,4,,#BF40BF,Trapezoid_Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,god_gundam2,,,,,,,blue,神高達 風雲再起,knight,./images/unit/god_gundam2.png,5,4,GodGundam,#FF4500,Trapezoid_Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,great_master_gundam,,,,,,,red,大盟主高達,queen,./images/unit/great_master_gundam.png,4,5,,#BF40BF,Destructive_Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,devil_gundam_iii_reborn_2,,,,,,,red,魔鬼高達 第三型態 復活2,queen,./images/unit/devil_gundam_iii.png,5,4,,#FFD700,Cosmo_Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,devil_gundam_iii_reborn_1,,,,,,,red,魔鬼高達 第三型態 復活1,queen,./images/unit/devil_gundam_iii.png,5,4,,#FFD700,Cosmo_Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,devil_gundam_iii,,,,,,,red,魔鬼高達 第三型態,queen,./images/unit/devil_gundam_iii.png,5,4,,#FFD700,Cosmo_Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,garada_k7_2,,,,,,,red,卡拉達K7 2,pawn,./images/unit/garada_k7.png,2,2,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,garada_k7_1,,,,,,,red,卡拉達K7 1,pawn,./images/unit/garada_k7.png,2,2,,#FFD700,Beam_Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
